-1 1:7.3398337 2:0.95117563 3:0.0 4:0.15 5:1.2555518 6:457 7:6816 8:33438 9:9885 10:1 11:0.0 12:0.10726726312812719 13:0.0 14:0.28342171556262064 15:0.0 16:1.0 17:0.0 18:0.0 19:0.0 20:0.0 #1197221562
-1 1:7.7485123 2:0.7749595 3:1.2179999 4:0.15 5:0.8253727 6:517 7:9341 8:43800 9:12897 10:2 11:0.0 12:0.08381981343406689 13:0.030178582014172846 14:0.2390457218668787 15:0.0 16:6.0 17:0.0 18:2.0 19:0.0 20:1.0 #336728665
-1 1:6.530223 2:0.5356691 3:1.2179999 4:0.15 5:1.645908 6:585 7:7284 8:37132 9:10657 10:3 11:0.0 12:0.10639868799813604 13:0.0 14:0.24096579867074966 15:0.0 16:2.0 17:0.0 18:1.0 19:0.0 20:0.0 #67029875
1 1:12.498421 2:2.5138628 3:1.62 4:0.15 5:3.112637 6:164 7:2959 8:16997 9:5279 10:1 11:45.0 12:0.11548609468732364 13:0.027939937811355627 14:0.20584674239815456 15:0.0 16:7.0 17:1.0 18:2.0 19:1.0 20:1.0 #100006011527
-1 1:18.141893 2:1.3069535 3:1.009 4:0.15 5:3.13381 6:109 7:2947 8:17496 9:5791 10:2 11:0.0 12:0.10411234362435874 13:0.02011905467611523 14:0.12146644952683741 15:0.0 16:6.0 17:0.0 18:3.0 19:0.0 20:1.0 #424933770
1 1:12.498421 2:4.7165675 3:0.81 4:0.15 5:6.0629497 6:164 7:2959 8:16997 9:5279 10:1 11:49.0 12:0.12941934424410054 13:0.027939937811355627 14:0.4152273992686998 15:0.11952286093343936 16:7.0 17:1.0 18:2.0 19:1.0 20:1.0 #100006011527
-1 1:12.472141 2:4.0186954 3:0.01 4:0.15 5:4.323466 6:65 7:1731 8:8724 9:2593 10:2 11:0.0 12:0.07859218527670325 13:0.027939937811355627 14:0.2631174057921088 15:0.0 16:7.0 17:1.0 18:4.0 19:0.0 20:1.0 #100006218681
-1 1:12.559337 2:2.7449968 3:4.647 4:0.15 5:2.9752326 6:327 7:6440 8:36101 9:11171 10:3 11:0.0 12:0.0769907297915491 13:0.04656656301892604 14:0.20584674239815456 15:0.0 16:7.0 17:0.0 18:3.0 19:0.0 20:0.0 #109104514
1 1:12.498421 2:3.0750306 3:3.24 4:0.15 5:3.681632 6:164 7:2959 8:16997 9:5279 10:1 11:22.0 12:0.09740095462753842 13:0.027939937811355627 14:0.09999999999999998 15:0.0 16:7.0 17:1.0 18:2.0 19:1.0 20:1.0 #100006011527
-1 1:8.7223015 2:10.810177 3:0.02 4:0.15 5:11.758522 6:68 7:968 8:4849 9:1539 10:1 11:12.0 12:0.0868047674056976 13:0.03484722489928778 14:0.35445877847928325 15:0.22360679774997896 16:2.0 17:0.0 18:0.0 19:1.0 20:0.0 #60737410
-1 1:8.7223015 2:9.503452 3:0.02 4:0.15 5:11.758522 6:68 7:968 8:4849 9:1539 10:2 11:12.0 12:0.0868047674056976 13:0.03484722489928778 14:0.35445877847928325 15:0.22360679774997896 16:2.0 17:0.0 18:0.0 19:1.0 20:0.0 #587611950
-1 1:30.676062 2:7.634478 3:0.81 4:0.15 5:8.411284 6:28 7:1959 8:10059 9:3151 10:3 11:4.0 12:0.08181680188713228 13:0.024640709031819093 14:0.3499999999999999 15:0.0 16:4.0 17:0.0 18:3.0 19:0.0 20:0.0 #103614964
1 1:15.634697 2:5.346261 3:1.829 4:0.15 5:5.508281 6:269 7:7530 8:41894 9:12959 10:1 11:1.0 12:0.0780289119340938 13:0.022039320163576206 14:0.26352313834736496 15:0.0 16:5.0 17:1.0 18:2.0 19:0.0 20:1.0 #100004725169
-1 1:13.3072815 2:5.298928 3:2.44 4:0.15 5:5.8559284 6:189 7:4229 8:23246 9:7229 10:2 11:10.0 12:0.08029108798143905 13:0.03696106354772864 14:0.3253956867279842 15:0.0 16:4.0 17:0.0 18:2.0 19:0.0 20:1.0 #92615066
-1 1:15.93043 2:3.2800841 3:0.01 4:0.15 5:6.4935665 6:125 7:2819 8:16556 9:5429 10:3 11:20.0 12:0.09705797163246473 13:0.014226319992543996 14:0.23354968324845685 15:0.0 16:3.0 17:0.0 18:2.0 19:0.0 20:0.0 #259700996
